,Country,Year,Homicide,Inequality,Compulsory education duration (years),GDP per capita (constant 2010 US$),Lower secondary completion rate total (% of relevant age group),Research and development expenditure (% of GDP),School enrollment tertiary (% gross),Unemployment total (% of total labor force) (national estimate),Urban population (% of total population),Unsentenced,Police personel
0,Albania,2003,5.323896566,0.311,8.0,2725.171389,86.46875,0.08757000000000001,16.65723991,15.0,44.573,19.1331501,271.48
1,Albania,2004,4.219147004,0.311,8.0,2887.370342,86.46875,0.08757000000000001,19.89043999,14.39999962,45.651,26.84187889,271.48
2,Albania,2005,4.988969195,0.29600000000000004,8.0,3062.673883,86.46875,0.08757000000000001,23.18983078,14.10000038,46.731,33.64197539999999,340.91
3,Albania,2006,3.101513179,0.3035,8.0,3263.9017129999997,86.46875,0.08757000000000001,26.63714027,13.80000019,47.815,32.93664932,247.41
4,Albania,2007,3.4607858360000003,0.29975,8.0,3485.3224090000003,91.59715271,0.08757000000000001,30.68712997,15.97000027,48.902,63.26164627,543.53
5,Albania,2008,3.097230044,0.2998467,8.0,3775.581314,91.07324219,0.15412,32.09280014,13.06000042,49.99100000000001,39.60536957,856.04
6,Albania,2009,2.8590226039999997,0.29979835,8.0,3928.450391,89.91284943,0.12084500000000001,33.38555145,13.67000008,51.076,34.88322067,304.06
7,Albania,2010,4.307963049,0.299822525,8.0,4094.350334,94.40544128,0.1374825,44.54925156,14.09000015,52.163000000000004,40.47669983,580.05
8,Albania,2011,4.848731527,0.2998104375,8.0,4209.874801,93.75469971,0.12916375000000002,49.87870026,13.47999954,53.247,39.70809174,442.05499999999995
9,Albania,2012,5.387614869,0.2896048,9.0,4276.6079039999995,93.73104858,0.13332312500000001,59.25201035,13.38000011,54.33,38.02511978,511.05249999999995
10,Albania,2013,4.270284193999999,0.29470761875,9.0,4327.37996,94.05895233,0.1312434375,64.63442993,15.86999989,55.387,39.51580429,894.37
11,Albania,2014,4.039627015,0.345989,9.0,4413.296891,94.38111115,0.13228328125,65.78296661,18.04999924,56.423,51.39743042,251.18
12,Albania,2015,2.214131417,0.32912909999999995,9.0,4524.373086,99.15677643,0.131763359375,62.00762177,17.19000053,57.434,49.23925781,299.42
13,Albania,2016,2.7369477910000004,0.3370824,9.0,4681.8265630000005,96.76894379,0.1320233203125,58.3818512,15.42000008,58.42100000000001,50.318344115,211.26
14,Albania,2017,2.010977859,0.33171090000000003,9.0,4864.310616,88.16436768,0.13189333984375,57.375259400000004,13.61999989,59.383,49.7788009625,222.61
15,Austria,2003,0.6115568339999999,0.258,9.0,43052.6026,103.8198776,2.17456,63.04729079999999,4.78000021,59.375,25.94000053,193.69
16,Austria,2004,0.718040213,0.263,9.0,43956.5829,103.8198776,2.1661200000000003,63.04729079999999,5.829999924,59.093999999999994,24.48399925,193.69
17,Austria,2005,0.65425552,0.253,9.0,44637.85601,103.8198776,2.37324,63.04729079999999,5.6300001139999996,58.813,23.24698639,305.67
18,Austria,2006,0.73623971,0.262,9.0,45951.734639999995,102.33032990000001,2.3592299999999997,63.04729079999999,5.239999771,58.532,23.49805641,291.8
19,Austria,2007,0.541273226,0.27699999999999997,9.0,47510.293789999996,101.396553,2.41843,63.04729079999999,4.860000134,58.248999999999995,21.79316521,298.735
20,Austria,2008,0.6953165040000001,0.275,9.0,48053.48236,100.7072983,2.56945,65.88690186,4.1300001139999996,57.966,22.82977676,150.67
21,Austria,2009,0.609125561,0.28300000000000003,9.0,46123.4911,100.02937320000001,2.59674,68.11264801,5.3000001910000005,57.683,22.89848518,140.38
22,Austria,2010,0.689659683,0.27399999999999997,9.0,46858.04327,101.87132259999998,2.7261,75.6237793,4.820000172,57.398999999999994,21.661182399999998,365.29
23,Austria,2011,0.887206378,0.276,10.0,48065.31654,101.7139816,2.6686799999999997,78.49945068,4.559999943,57.115,20.39311981,238.5
24,Austria,2012,0.929167995,0.27,10.0,48172.23812,99.30486298,2.91472,78.93891144,4.8699998860000004,57.147,20.34071541,250.5
25,Austria,2013,0.724621505,0.276,10.0,47901.36613,97.33421326,2.95492,79.65540314,5.329999924,57.336000000000006,20.41300011,274.76
26,Austria,2014,0.522332318,0.272,10.0,47842.74891,96.90894318,3.08429,79.15869904,5.6199998860000004,57.526,21.09986305,262.63
27,Austria,2015,0.530035315,0.272,10.0,47789.38502,96.22541046,3.0497900000000002,80.71942139,5.71999979,57.715,20.79473877,261.73
28,Austria,2016,0.6516291989999999,0.27899999999999997,10.0,48215.890530000004,97.1798172,3.12588,83.45494843,6.010000229,57.905,20.94730091,203.59
29,Austria,2017,0.793659612,0.268,13.0,49031.10703,97.67305756,3.05212,85.05713654,5.5,58.093999999999994,20.87101984,199.3
30,Belgium,2003,2.207499375,0.261,12.0,40634.596489999996,89.60427094,1.8318400000000001,59.83446121,7.679999828,97.296,40.95000076,501.16
31,Belgium,2004,2.557223115,0.28,12.0,41903.9924,89.60427094,1.80898,61.02286911,7.360000134,97.35,39.93999863,501.16
