Country;Year;Homicide;Inequality;GDP per capita (constant 2010 US$);Lower secondary completion rate, total (% of relevant age group);Research and development expenditure (% of GDP);School enrollment,  tertiary (% gross);Unemployment, total (% of total labor force) (national estimate);Urban population (% of total population);Unsentenced;Police personel
Albania;2003;5.323896566;;2725.171389;86.46875;;16.65723991;15;44.573;19.1331501;399.42
Albania;2004;4.219147004;0.311;2887.370342;;;19.89043999;14.39999962;45.651;26.84187889;399.16
Albania;2005;4.988969195;0.296;3062.673883;;;23.18983078;14.10000038;46.731;33.6419754;340.14
Albania;2006;3.101513179;;3263.901713;;;26.63714027;13.80000019;47.815;32.93664932;342.8
Albania;2007;3.460785836;;3485.322409;91.59715271;0.08757;30.68712997;15.97000027;48.902;63.26164627;319.71
Albania;2008;3.097230044;0.2998467;3775.581314;91.07324219;0.15412;32.09280014;13.06000042;49.991;39.60536957;319.28
Albania;2009;2.859022604;;3928.450391;89.91284943;;33.38555145;13.67000008;51.076;34.88322067;310.43
Albania;2010;4.307963049;;4094.350334;94.40544128;;44.54925156;14.09000015;52.163;40.47669983;328.02
Albania;2011;4.848731527;;4209.874801;93.75469971;;49.87870026;13.47999954;53.247;39.70809174;331.96
Albania;2012;5.387614869;0.2896048;4276.607904;93.73104858;;59.25201035;13.38000011;54.33;38.02511978;333.84
Albania;2013;4.270284194;;4327.37996;94.05895233;;64.63442993;15.86999989;55.387;39.51580429;326.34
Albania;2014;4.039627015;0.345989;4413.296891;94.38111115;;65.78296661;18.04999924;56.423;51.39743042;332.35
Albania;2015;2.214131417;0.3291291;4524.373086;99.15677643;;62.00762177;17.19000053;57.434;49.23925781;337.01
Albania;2016;2.736947791;0.3370824;4681.826563;;;58.3818512;15.42000008;58.421;;365.73
Albania;2017;2.010977859;0.3317109;4864.310616;88.16436768;;57.3752594;13.61999989;59.383;;369.31
Austria;2003;0.611556834;0.258;43052.6026;103.8198776;2.17456;;4.78000021;59.375;25.94000053;
Austria;2004;0.718040213;0.263;43956.5829;;2.16612;;5.829999924;59.094;24.48399925;329.94
Austria;2005;0.65425552;0.253;44637.85601;;2.37324;;5.630000114;58.813;23.24698639;328.46
Austria;2006;0.73623971;0.262;45951.73464;102.3303299;2.35923;;5.239999771;58.532;23.49805641;321.34
Austria;2007;0.541273226;0.277;47510.29379;101.396553;2.41843;63.0472908;4.860000134;58.249;21.79316521;320.22
Austria;2008;0.695316504;0.275;48053.48236;100.7072983;2.56945;65.88690186;4.130000114;57.966;22.82977676;319.14
Austria;2009;0.609125561;0.283;46123.4911;100.0293732;2.59674;68.11264801;5.300000191;57.683;22.89848518;317.96
Austria;2010;0.689659683;0.274;46858.04327;101.8713226;2.7261;75.6237793;4.820000172;57.399;21.6611824;327.04
Austria;2011;0.887206378;0.276;48065.31654;101.7139816;2.66868;78.49945068;4.559999943;57.115;20.39311981;327.84
Austria;2012;0.929167995;0.27;48172.23812;99.30486298;2.91472;78.93891144;4.869999886;57.147;20.34071541;326.91
Austria;2013;0.724621505;0.276;47901.36613;97.33421326;2.95492;79.65540314;5.329999924;57.336;20.41300011;324.72
Austria;2014;0.522332318;0.272;47842.74891;96.90894318;3.08429;79.15869904;5.619999886;57.526;21.09986305;323.83
Austria;2015;0.530035315;0.272;47789.38502;96.22541046;3.04979;80.71942139;5.71999979;57.715;20.79473877;322.12
Austria;2016;0.651629199;0.279;48215.89053;97.1798172;3.12588;83.45494843;6.010000229;57.905;;330.58
Austria;2017;0.793659612;0.268;49031.10703;97.67305756;3.05212;85.05713654;5.5;58.094;;
Belgium;2003;2.207499375;0.261;40634.59649;;1.83184;59.83446121;7.679999828;97.296;40.95000076;348.57
Belgium;2004;2.557223115;0.28;41903.9924;;1.80898;61.02286911;7.360000134;97.35;39.93999863;353.13
